,Incident_Number,CreateDatetime,Call_Type,Source,Progress,Priority,Dispositions,Block_Address,City,ZIP_Code,NonBerkeley_Address,ObjectId_x,Statute,Statute_Description,Statute_Type,Arrest_Type,Age,Height,Race,Sex,Weight,Case_Number,ObjectId_y
171,2025-00041104,2025/09/12 17:22:44+00,CFS 602L - Trespassing,Telephone,In Progress,Level 3,"Arrest only (no Case), Primary Case (Case or Cold Theft)",3000 ADELINE ST,BERKELEY,94703.0,,4749,602.1 (A),TRESPASS: OBSTRUCT BUSINESS OPERATIONS/ETC,Penal Code,On-View Arrest IBR,74,5 ft. 8 in.,Black,Female,210.0,2025-00041104,137
172,2025-00041302,2025/09/13 15:27:52+00,CFS 484 - Theft,Telephone,In Progress,Level 2,Primary Case (Case or Cold Theft),2800 ADELINE ST,BERKELEY,94703.0,,4755,666.1(A)(1) (F); 484 (A) - (Shoplift),Shoplifting: FELONY THEFT WITH 2 PRIORS; PETTY THEFT SHOPLIFTING,Penal Code; Penal Code,On-View Arrest IBR,43,5 ft. 9 in.,White,Male,150.0,2025-00041302,97
173,2025-00041294,2025/09/13 14:01:47+00,CFS 415F - Family Disturbance,911 Call,In Progress,Level 1,Primary Case (Case or Cold Theft),3000 SACRAMENTO ST,BERKELEY,94702.0,,4775,243 (E)(1) Simp; 211; 591.5,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC; ROBBERY; DAMAGE/DESTROY ANY WIRELESS COMMUNICATION DEVICE,Penal Code; Penal Code; Penal Code,On-View Arrest IBR,21,5 ft. 10 in.,Black,Male,148.0,2025-00041294,100
174,2025-00040680,2025/09/10 08:38:32+00,CFS 415 - Disturbance,911 Call,In Progress,Level 2,Primary Case (Case or Cold Theft),2000 DELAWARE ST,BERKELEY,94709.0,,4815,11364(A); 166 (A)(4); 148(A)(1); 1205(A),POSSESS UNLAWFUL PARAPHERNALIA; CONTEMPT OF COURT: DISOBEY COURT ORDER; OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH; JUDGEMENT IMPOSING PAYMENT OF FINE,Health and Safety; Penal Code; Penal Code; Penal Code,On-View Arrest IBR,42,5 ft. 11 in.,Black,Male,217.0,2025-00040680,156
175,2025-00041031,2025/09/12 05:19:16+00,CFS 242 - Battery,911 Call,In Progress,Level 1,"Arrest only (no Case), Primary Case (Case or Cold Theft)",2300 FULTON ST,BERKELEY,94704.0,,4871,417 (A)(1) - M; 242,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM; BATTERY ON PERSON,Penal Code; Penal Code,On-View Arrest IBR,21,5 ft. 5 in.,Black,Female,120.0,2025-00041031,143
176,2025-00040976,2025/09/11 22:32:27+00,CFS 314 - Indecent Exposure,911 Call,In Progress,Level 2,Primary Case (Case or Cold Theft),2100 MARTIN LUTHER KING JR WAY,BERKELEY,94703.0,,4884,Warr - Out (M); 11377 (A) - M; 314 (1) - M,Outside Warrant Misdemeanor; POSSESS CONTROLLED SUBSTANCE; INDECENT EXPOSURE,Penal Code; Health and Safety; Penal Code,On-View Arrest IBR,37,5 ft. 11 in.,Black,Male,165.0,2025-00040976,146
177,2025-00040721,2025/09/10 16:48:32+00,CFS SUSPER - Susp. Person,Telephone,In Progress,Level 2,"Homeless, Primary Case (Case or Cold Theft), Arrest only (no Case)",1400 UNIVERSITY AVE,BERKELEY,94702.0,,4953,530.5 (A); 484 (A); 11377 (A) - M; 11364(A); 11350 (A) - M; 148.9 (A); 148(A)(1),GET CREDIT/ETC OTHER'S ID BY IDENTITY THEFT ; PETTY THEFT (ALL OTHER); POSSESS CONTROLLED SUBSTANCE; POSSESS UNLAWFUL PARAPHERNALIA; POSSESS NARCOTIC CONTROLLED SUBSTANCE; GIVE FALSE ID TO POLICE OFFICER; OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,Penal Code; Penal Code; Health and Safety; Health and Safety; Health and Safety; Penal Code; Penal Code,On-View Arrest IBR,33,5 ft. 9 in.,White,Male,200.0,2025-00040721,152
178,2025-00040712,2025/09/10 16:09:03+00,CFS 10851 - Stolen Vehicle,911 Call,In Progress,Level 2,Primary Case (Case or Cold Theft),DERBY ST  &  SACRAMENTO ST,BERKELEY,94702.0,,4990,496 (A) - F; 10851 (A),RECEIVE/ETC KNOWN STOLEN PROPERTY; TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,Penal Code; Vehicle Code,On-View Arrest IBR,55,5 ft. 10 in.,Other,Female,165.0,2025-00040712,153
179,2025-00040709,2025/09/10 15:55:25+00,CFS 417 - Brandishing Weapon,Telephone,In Progress,Level 1,Primary Case (Case or Cold Theft),CENTER ST  &  MILVIA ST,BERKELEY,94704.0,,4993,417 (A)(1) - M; 422 (A) - F,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM; THREATEN CRIME WITH INTENT TO TERRORIZE,Penal Code; Penal Code,On-View Arrest IBR,75, ft.  in.,White,Female,,2025-00040709,154
180,2025-00040701,2025/09/10 15:02:00+00,CFS WARARR - Warrant Arrest,911 Call,In Progress,Level 6,Arrest only (no Case),1400 BANCROFT WAY,BERKELEY,94702.0,,5004,Warr - BPD (M),Misdemeanor Warrant,Penal Code,Taken into Custody IBR,34,5 ft. 10 in.,Black,Male,250.0,2025-00040701,155
181,2025-00040810,2025/09/11 01:09:16+00,CFS 1194 - Pedestrian Stop,Officer Initiated,In Progress,Level 0,"Arrest only (no Case), Primary Case (Case or Cold Theft)",2100 MARTIN LUTHER KING JR WAY,BERKELEY,94703.0,,5049,11364(A),POSSESS UNLAWFUL PARAPHERNALIA,Health and Safety,Summoned/Cited IBR,46,5 ft. 9 in.,White,Male,180.0,2025-00040810,149
182,2025-00040809,2025/09/11 01:04:41+00,CFS SEC - Security Check,Officer Initiated,In Progress,Level 4,Primary Case (Case or Cold Theft),2100 MARTIN LUTHER KING JR WAY,BERKELEY,94703.0,,5057,11364(A),POSSESS UNLAWFUL PARAPHERNALIA,Health and Safety,Summoned/Cited IBR,53,5 ft. 9 in.,White,Male,180.0,2025-00040809,150
183,2025-00040802,2025/09/11 00:22:09+00,CFS CRTVIO - Court Order Violation,Telephone,Just Prior,Level 1,"Primary Case (Case or Cold Theft), RIPA",2700 MILVIA ST,BERKELEY,94703.0,,5095,1203.2 - F; 166 (A)(4),PROBATION VIOLATION: REARREST/REVOKE; CONTEMPT OF COURT: DISOBEY COURT ORDER,Penal Code; Penal Code,On-View Arrest IBR,35,6 ft. 0 in.,Black,Male,175.0,2025-00040802,151
184,2025-00040905,2025/09/11 16:28:02+00,CFS 415F - Family Disturbance,911 Call,In Progress,Level 1,Primary Case (Case or Cold Theft),900 HEINZ AVE,BERKELEY,94710.0,,5100,243 (E)(1) Simp,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,Penal Code,On-View Arrest IBR,39,5 ft. 7 in.,Hispanic,Male,130.0,2025-00040905,147
185,2025-00040640,2025/09/10 02:19:51+00,CFS 484 - Theft,Telephone,In Progress,Level 2,"Homeless, Primary Case (Case or Cold Theft), RIPA",2100 SHATTUCK AVE,BERKELEY,94704.0,,5262,484 (A),PETTY THEFT (ALL OTHER),Penal Code,On-View Arrest IBR,39,6 ft. 0 in.,White,Male,190.0,2025-00040640,157
186,2025-00040430,2025/09/08 23:50:09+00,CFS LDRPT - Loud Report,911 Call,In Progress,Level 1,"Follow Up, Primary Case (Case or Cold Theft)",2100 MARTIN LUTHER KING JR WAY,BERKELEY,94703.0,,5330,245 (A)(2) - F; 246 - F,ASSAULT WITH FIREARM ON PERSON; SHOOT AT INHABITED DWELLING/VEHICLE/ETC,Penal Code; Penal Code,On-View Arrest IBR,28,5 ft. 6 in.,Hispanic,Male,220.0,2025-00040430,107
187,2025-00040629,2025/09/10 01:17:30+00,CFS 415 - Disturbance,911 Call,In Progress,Level 2,Primary Case (Case or Cold Theft),1000 UNIVERSITY AVE,BERKELEY,94710.0,,5341,240,ASSAULT,Penal Code,Summoned/Cited IBR,34,5 ft. 3 in.,Black,Female,150.0,2025-00040629,158
188,2025-00040608,2025/09/09 23:52:14+00,CFS SEC - Security Check,Officer Initiated,In Progress,Level 4,"Primary Case (Case or Cold Theft), RIPA",DANA ST  &  CHANNING WAY,BERKELEY,94704.0,,5357,11377 (A) - M; 11364(A); 166 (A)(4); 135,POSSESS CONTROLLED SUBSTANCE; POSSESS UNLAWFUL PARAPHERNALIA; CONTEMPT OF COURT: DISOBEY COURT ORDER; DESTROY/CONCEAL EVIDENCE,Health and Safety; Health and Safety; Penal Code; Penal Code,On-View Arrest IBR,34,5 ft. 11 in.,White,Male,165.0,2025-00040608,159
189,2025-00040606,2025/09/09 23:50:03+00,CFS SEC - Security Check,Officer Initiated,In Progress,Level 4,"Homeless, Primary Case (Case or Cold Theft), RIPA",DANA ST  &  CHANNING WAY,BERKELEY,94704.0,,5358,11364(A),POSSESS UNLAWFUL PARAPHERNALIA,Health and Safety,On-View Arrest IBR,58,6 ft. 1 in.,White,Male,170.0,2025-00040606,160
190,2025-00040598,2025/09/09 22:47:39+00,CFS 1042 - Welfare Check,Telephone,In Progress,Level 2,"Primary Case (Case or Cold Theft), RIPA",1500 WOOLSEY ST,BERKELEY,94703.0,,5370,11364(A),POSSESS UNLAWFUL PARAPHERNALIA,Health and Safety,Summoned/Cited IBR,39,5 ft. 9 in.,White,Male,160.0,2025-00040598,161
191,2025-00040518,2025/09/09 14:39:19+00,CFS 415 - Disturbance,911 Call,In Progress,Level 2,"RIPA, Arrest only (no Case), Homeless, Primary Case (Case or Cold Theft)",SAN PABLO AVE  &  CEDAR ST,BERKELEY,94702.0,,5493,Warr - Out (M); Warr - BPD (M); 11364(A),Outside Warrant Misdemeanor; Misdemeanor Warrant; POSSESS UNLAWFUL PARAPHERNALIA,Penal Code; Penal Code; Health and Safety,On-View Arrest IBR,27,5 ft. 4 in.,Black,Female,151.0,2025-00040518,163
192,2025-00040555,2025/09/09 19:12:42+00,CFS 1194 - Pedestrian Stop,Officer Initiated,In Progress,Level 0,Arrest only (no Case),2100 SHATTUCK AVE,BERKELEY,94704.0,,5495,372,PUBLIC NUISANCE,Penal Code,Summoned/Cited IBR,47,6 ft. 6 in.,Black,Male,275.0,2025-00040555,162
193,2025-00040185,2025/09/07 08:45:20+00,CFS LDRPT - Loud Report,Telephone,In Progress,Level 1,"Primary Case (Case or Cold Theft), MDT Narrative Only",1400 HARMON ST,BERKELEY,94702.0,,5603,246.3(A) - F,WILLFULLY DISCHARGE OF FIREARM IN A NEGLIGENT MANNER (INJURY),Penal Code,On-View Arrest IBR,29,5 ft. 2 in.,Hispanic,Female,150.0,2025-00040185,4
194,2025-00038816,2025/08/31 02:19:39+00,CFS 242 - Battery,911 Call,In Progress,Level 1,Primary Case (Case or Cold Theft),WALNUT ST  &  VINE ST,BERKELEY,94709.0,,6829,243(D) - F,BATTERY W/SERIOUS BODILY INJURY,Penal Code,On-View Arrest IBR,69,5 ft. 10 in.,White,Male,160.0,2025-00038816,5
195,2025-00032140,2025/07/21 07:09:33+00,CFS 10851 - Stolen Vehicle,Telephone,In Progress,Level 2,Primary Case (Case or Cold Theft),2900 HILLEGASS AVE,BERKELEY,94705.0,,13776,Warr - Out (F),Outside Warrant Felony,Penal Code,On-View Arrest IBR,41,5 ft. 5 in.,White,Female,140.0,2025-00032140,193
196,2025-00031836,2025/07/18 23:52:53+00,CFS 459 - Burglary,Telephone,Cold Report,Level 3,MDT Narrative Only,3000 REGENT ST,BERKELEY,94705.0,,14090,460(A); 182 (A)(1) - F,BURGLARY:FIRST DEGREE; CONSPIRACY:COMMIT CRIME,Penal Code; Penal Code,On-View Arrest IBR,36,5 ft. 4 in.,Black,Female,180.0,2025-00031836,21
197,2025-00031293,2025/07/15 18:38:31+00,CFS 459 - Burglary,Telephone,Cold Report,Level 3,Primary Case (Case or Cold Theft),2200 DWIGHT WAY,BERKELEY,94704.0,,14661,460(A),BURGLARY:FIRST DEGREE,Penal Code,On-View Arrest IBR,36,5 ft. 4 in.,Black,Female,180.0,2025-00031293,18
198,2025-00026289,2025/06/12 06:07:27+00,CFS 459 - Burglary,Telephone,Cold Report,Level 3,Primary Case (Case or Cold Theft),2300 CEDAR ST,BERKELEY,94708.0,,19564,484G; 530.5 (A),FELONY-THEFT BY USE OF ACCESS CARD INFORMATION; GET CREDIT/ETC OTHER'S ID BY IDENTITY THEFT ,Penal Code; Penal Code,On-View Arrest IBR,66,5 ft. 10 in.,White,Male,175.0,2025-00026289,187
199,2025-00014945,2025/04/02 22:30:47+00,CFS 459A - Auto Burglary,Telephone,Cold Report,Level 3,Primary Case (Case or Cold Theft),2300 PARKER ST,BERKELEY,94704.0,,30946,1203.2 - F; 487 (A) - (veh); 459 Auto,PROBATION VIOLATION: REARREST/REVOKE; GRAND THEFT FROM VEHICLE; BURGLARY OF AUTO,Penal Code; Penal Code; Penal Code,On-View Arrest IBR,49,5 ft. 11 in.,Black,Male,185.0,2025-00014945,36
200,2024-00057741,2024/12/12 19:46:01+00,CFS 487 - Grand Theft,Telephone,Cold Report,Level 4,Primary Case (Case or Cold Theft),1200 5TH ST,BERKELEY,94710.0,,49135,487 (A); 182 (A)(1) - F; 459,GRAND THEFT (ALL OTHER); CONSPIRACY:COMMIT CRIME; BURGLARY - BREAKING AND ENTERING,Penal Code; Penal Code; Penal Code,On-View Arrest IBR,26, ft.  in.,Black,Female,,2024-00057741,148
